Year,Biogas,Coal and peat,Marine energy,Natural gas,Nuclear,Oil,Onshore wind energy,Other non-renewable energy,Pumped storage,Renewable hydropower,Renewable municipal waste,Solar photovoltaic,Solid biofuels,Total non-renewable,Total renewable
2024-01-01,1917.1582517781512,21246.89038765935,1.0000026043700116,102262.58248243522,90535.81229515908,5178.377598369039,41242.93819242389,465.9547057281328,111.0,418870.25617460103,171.55601670276732,8701.636033941508,8472.947524454843,214180.6211638972,464727.2633422131
2025-01-01,1922.7148718879498,19580.87689726887,1.0000009661307516,107730.48513500865,91152.01730029634,4682.500427911175,41774.44797601514,458.66657747428206,111.0,327897.1073100425,172.80669676277134,10897.60520000543,8473.843606550496,214183.9524961329,403313.7577496343
2026-01-01,1918.2019862856973,18374.67579529712,1.000001996640188,112743.90777250538,91407.05859031714,5179.88171903866,42157.79443974505,453.85757808167483,111.0,470168.6406854326,171.7234428113653,13854.905589502683,8473.924326444756,214184.711517408,485501.5334231792
2027-01-01,1921.8671885231336,17501.380886948657,1.000001348413934,117340.62577192609,91512.61771280592,4680.991744863766,42434.27949381367,450.68440736450503,111.0,247672.33862689903,172.6616836618935,17837.486824646505,8473.931597766616,214184.88445521644,375512.20119100006
2028-01-01,1918.890444013013,16869.111528463844,1.0000017561707788,121555.27470420698,91556.30761234999,5181.394978302703,42633.69175493,448.59062203032875,111.0,595630.9446475565,171.84904329030078,23200.808505071433,8473.932252773935,214184.9238579138,522707.4879077658
